adduser	3.118ubuntu2
adwaita-icon-theme	3.36.1-2ubuntu0.20.04.2
alsa-topology-conf	1.2.2-1
alsa-ucm-conf	1.2.2-1ubuntu0.13
apparmor	2.13.3-7ubuntu5.4
apport	2.20.11-0ubuntu27.29
apt	2.0.11
at	3.1.23-1ubuntu1
autoconf	2.69-11.1
automake	1:1.16.1-4ubuntu6
autotools-dev	20180224.1
base-files	11ubuntu5.8
base-passwd	3.5.47
bash	5.0-6ubuntu1.2
bc	1.07.1-2build1
bcache-tools	1.0.8-3ubuntu0.1
binutils	2.34-6ubuntu1.11
binutils-common:amd64	2.34-6ubuntu1.11
binutils-x86-64-linux-gnu	2.34-6ubuntu1.11
bolt	0.9.1-2~ubuntu20.04.2
bsdutils	1:2.34-0.1ubuntu9.6
btrfs-progs	5.4.1-2
build-essential	12.8ubuntu1.1
bzip2	1.0.8-2
ca-certificates	20240203~20.04.1
cloud-guest-utils	0.31-7-gd99b2d76-0ubuntu1
cloud-init	24.4.1-0ubuntu0~20.04.3
cmake	3.16.3-1ubuntu1.20.04.1
cmake-data	3.16.3-1ubuntu1.20.04.1
coreutils	8.30-3ubuntu2
cpp	4:9.3.0-1ubuntu2
cpp-9	9.4.0-1ubuntu1~20.04.2
cppcheck	1.90-4build1
cryptsetup	2:2.2.2-3ubuntu2.5
cryptsetup-bin	2:2.2.2-3ubuntu2.5
cryptsetup-run	2:2.2.2-3ubuntu2.5
curl	7.68.0-1ubuntu2.25
cython3	0.29.14-0.1ubuntu3
dash	0.5.10.2-6
dbus	1.12.16-2ubuntu2.3
dbus-user-session	1.12.16-2ubuntu2.3
dconf-gsettings-backend:amd64	0.36.0-1
dconf-service	0.36.0-1
debconf	1.5.73
debianutils	4.9.1
default-libmysqlclient-dev:amd64	1.0.5ubuntu2
diffutils	1:3.7-3
dirmngr	2.2.19-3ubuntu2.5
distro-info	0.23ubuntu1.1
distro-info-data	0.43ubuntu1.18
dmeventd	2:1.02.167-1ubuntu1
dmidecode	3.2-3
dmsetup	2:1.02.167-1ubuntu1
docutils-common	0.16+dfsg-2
dosfstools	4.1-2
dpkg	1.19.7ubuntu3.2
dpkg-dev	1.19.7ubuntu3.2
e2fsprogs	1.45.5-2ubuntu1.2
eatmydata	105-7
ethtool	1:5.4-1
fdisk	2.34-0.1ubuntu9.6
finalrd	6~ubuntu20.04.1
findutils	4.7.0-1ubuntu1
flang-18	1:18.1.8-11~20.04.2
fontconfig	2.13.1-2ubuntu3
fontconfig-config	2.13.1-2ubuntu3
fonts-dejavu-core	2.37-1
fonts-ubuntu-console	0.83-4ubuntu1
fuse	2.9.9-3
fwupd-signed	1.51.1~20.04.1+1.4-0ubuntu0.1
g++	4:9.3.0-1ubuntu2
g++-9	9.4.0-1ubuntu1~20.04.2
gawk	1:5.0.1+dfsg-1ubuntu0.1
gcc	4:9.3.0-1ubuntu2
gcc-10-base:amd64	10.5.0-1ubuntu1~20.04
gcc-9	9.4.0-1ubuntu1~20.04.2
gcc-9-base:amd64	9.4.0-1ubuntu1~20.04.2
gdal-data	3.0.4+dfsg-1build3
gdisk	1.0.5-1
gir1.2-glib-2.0:amd64	1.64.1-1~ubuntu20.04.1
gir1.2-packagekitglib-1.0	1.1.13-2ubuntu1.1
git	1:2.25.1-1ubuntu3.14
git-man	1:2.25.1-1ubuntu3.14
glib-networking:amd64	2.64.2-1ubuntu0.1
glib-networking-common	2.64.2-1ubuntu0.1
glib-networking-services	2.64.2-1ubuntu0.1
gnupg	2.2.19-3ubuntu2.5
gnupg-l10n	2.2.19-3ubuntu2.5
gnupg-utils	2.2.19-3ubuntu2.5
gnupg2	2.2.19-3ubuntu2.5
google-mock:amd64	1.10.0-2
googletest	1.10.0-2
gpg	2.2.19-3ubuntu2.5
gpg-agent	2.2.19-3ubuntu2.5
gpg-wks-client	2.2.19-3ubuntu2.5
gpg-wks-server	2.2.19-3ubuntu2.5
gpgconf	2.2.19-3ubuntu2.5
gpgsm	2.2.19-3ubuntu2.5
gpgv	2.2.19-3ubuntu2.5
graphviz	2.42.2-3build2
grep	3.4-1
groff-base	1.22.4-4build1
gsettings-desktop-schemas	3.36.0-1ubuntu1
gtk-update-icon-cache	3.24.20-0ubuntu1.2
gzip	1.10-0ubuntu4.1
hdf5-helpers	1.10.4+repack-11ubuntu1
hicolor-icon-theme	0.17-2
hostname	3.23
htop	2.2.0-2build1
humanity-icon-theme	0.6.15
ibverbs-providers:amd64	28.0-1ubuntu1
icu-devtools	66.1-2ubuntu2.1
init-system-helpers	1.57
initramfs-tools-bin	0.136ubuntu6.8
iproute2	5.5.0-1ubuntu1
isc-dhcp-client	4.4.1-2.1ubuntu5.20.04.5
isc-dhcp-common	4.4.1-2.1ubuntu5.20.04.5
iso-codes	4.4-1
klibc-utils	2.0.7-1ubuntu5.2
kmod	27-1ubuntu2.1
kpartx	0.8.3-1ubuntu2.4
krb5-locales	1.17-6ubuntu4.11
libacl1:amd64	2.2.53-6
libaec-dev:amd64	1.0.4-1
libaec0:amd64	1.0.4-1
libaio1:amd64	0.3.112-5
libann0	1.1.2+doc-7build1
libaom0:amd64	1.0.0.errata1-3+deb11u1ubuntu0.1
libapparmor1:amd64	2.13.3-7ubuntu5.4
libapt-pkg6.0:amd64	2.0.11
libarchive13:amd64	3.4.0-2ubuntu1.5
libargon2-1:amd64	0~20171227-0.2
libarmadillo-dev	1:9.800.4+dfsg-1build1
libarmadillo9	1:9.800.4+dfsg-1build1
libarpack2:amd64	3.7.0-3
libarpack2-dev:amd64	3.7.0-3
libasan5:amd64	9.4.0-1ubuntu1~20.04.2
libasan6:amd64	10.5.0-1ubuntu1~20.04
libasn1-8-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libassuan0:amd64	2.5.3-7ubuntu2
libatk-bridge2.0-0:amd64	2.34.2-0ubuntu2~20.04.1
libatk1.0-0:amd64	2.35.1-1ubuntu2
libatk1.0-data	2.35.1-1ubuntu2
libatm1:amd64	1:2.5.1-4
libatomic1:amd64	10.5.0-1ubuntu1~20.04
libatspi2.0-0:amd64	2.36.0-2
libattr1:amd64	1:2.4.48-5
libaudit-common	1:2.8.5-2ubuntu6
libaudit1:amd64	1:2.8.5-2ubuntu6
libavahi-client3:amd64	0.7-4ubuntu7.3
libavahi-common-data:amd64	0.7-4ubuntu7.3
